	artist	fans	rank	2015_shows	2014_shows	2013_shows	2012_shows	2011_shows	miles	all_shows	familiarity	hotttnesss	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	reggae	latin	classical	country	jazz	punk	electro house	pop	r&b	hip hop	rock	world	metal	blues	folk	bon_counts	ult_counts	acl_counts	han_counts	gba_counts	sas_counts	coa_counts	sxs_counts	bea_counts	noi_counts	genre_pick
/artists/7776184-oliver-heldens	Oliver Heldens	31803.0	3073.0	83.0	44.0	0.0	0.0	0.0	202721.0	114.0	0.572505	0.831464	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	6
/artists/771645-ramadanman	Ramadanman	9967.0	7783.0	0.0	0.0	0.0	2.0	25.0	90013.0	96.0	0.473191	0.545988	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	9
/artists/24824-tribes	Tribes	19042.0	4725.0	0.0	11.0	61.0	67.0	84.0	157544.0	246.0	0.431669	0.582207	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	10
/artists/479284-white-rabbits	White Rabbits	59989.0	1792.0	0.0	1.0	0.0	75.0	27.0	226909.0	355.0	0.498055	0.547808	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.142857142857	0.571428571429	0.0	0.0	0.142857142857	0.0	0.0	0.0	0.142857142857	0	0	1	0	0	0	1	0	0	0	7
/artists/3254371-head-and-the-heart	The Head and the Heart	154563.0	646.0	3.0	121.0	89.0	104.0	178.0	317391.0	523.0	0.570748	0.626643	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2	0	2	0	1	2	2	1	0	0	14
/artists/927852-tame-impala	Tame Impala	260532.0	313.0	59.0	30.0	100.0	60.0	44.0	562939.0	413.0	0.699207	0.834917	0	0	0	1	0	1	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.444444444444	0.0	0.0	0.444444444444	0.0	0.0	0.0	0.111111111111	1	0	1	0	0	2	2	0	0	0	7
/artists/389031-hinder	Hinder	160542.0	611.0	61.0	2.0	79.0	43.0	112.0	327490.0	583.0	0.596427	0.601871	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.625	0.0	0.25	0.0	0.0	0	0	0	0	0	0	0	0	1	0	10
/artists/149103-allen-toussaint	Allen Toussaint	18266.0	4893.0	18.0	64.0	48.0	37.0	51.0	386487.0	343.0	0.589317	0.543113	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.4	0.0	1	0	0	0	0	0	0	0	0	0	8
/artists/236604-wallpaper	Wallpaper	30670.0	3147.0	0.0	12.0	90.0	33.0	41.0	177483.0	257.0	0.480501	0.628142	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	6
/artists/547565-greencards	The Greencards	8771.0	8547.0	0.0	10.0	15.0	8.0	29.0	187871.0	304.0	0.435299	0.508062	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0	0	0	0	0	3
/artists/620512-hood-internet	The Hood Internet	30860.0	3129.0	25.0	51.0	46.0	87.0	92.0	312338.0	410.0	0.492329	0.552467	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	3	0	0	11
/artists/614171-papa	PAPA	17770.0	5014.0	8.0	14.0	84.0	61.0	7.0	82301.0	172.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	1	1	0	1	0	0	0
/artists/358297-pj-harvey	PJ Harvey	160467.0	612.0	5.0	0.0	0.0	7.0	43.0	531666.0	688.0	0.775334	0.614989	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	0	0	10
/artists/65094-spiritualized	Spiritualized	63286.0	1693.0	18.0	9.0	34.0	67.0	9.0	578453.0	652.0	0.69623	0.583681	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0714285714286	0	0	0	0	0	1	1	0	0	0	7
/artists/127582-maccabees	The Maccabees	111964.0	915.0	55.0	21.0	24.0	110.0	20.0	287609.0	534.0	0.65485	0.672605	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0	0	0	0	0	0	0	0	0	0	6
/artists/405316-rebelution	Rebelution	88974.0	1186.0	83.0	91.0	86.0	102.0	103.0	416735.0	728.0	0.585754	0.628008	0	0	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0	0	2	1	0	0	0	0	0	0	0
