	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	artist	fans
/artists/42199-toy-dolls	0	0	0	0	0	0	0	0	0	0	Toy Dolls	10822.0
/artists/1100402-fang-island	0	0	0	0	0	0	0	0	0	0	Fang Island	19181.0
/artists/498484-paul-oakenfold	0	0	0	0	0	0	0	0	0	0	Paul Oakenfold	85177.0
/artists/976169-housse-de-racket	0	0	0	0	0	0	0	0	0	0	Housse de Racket	18499.0
/artists/8278948-andrew-mcmahon-in-the-wilderness	0	0	0	1	0	0	0	0	0	0	Andrew McMahon in the Wilderness	18216.0
/artists/4438858-strfkr	0	0	0	0	0	0	0	0	0	0	STRFKR	111345.0
/artists/6835044-charlotte-oc	0	0	1	0	0	0	1	1	0	0	Charlotte OC	8339.0
/artists/499172-emancipator	0	0	0	0	0	0	0	0	0	0	Emancipator	47981.0
/artists/604147-big-krit	0	0	0	0	0	0	0	0	0	0	BIG K.R.I.T.	75617.0
/artists/491778-horse-feathers	0	0	0	0	0	0	0	0	0	0	Horse Feathers	32333.0
/artists/58290-yonder-mountain-string-band	0	0	0	0	0	0	0	0	0	0	Yonder Mountain String Band	22363.0
/artists/153441-gillian-welch	0	0	0	0	0	0	0	0	0	0	Gillian Welch	47668.0
/artists/274134-shearwater	0	0	0	0	0	0	0	0	0	0	Shearwater	24211.0
/artists/3294396-joywave	0	0	0	0	1	0	0	0	0	0	Joywave	29940.0
/artists/566827-cedric-gervais	0	0	0	1	0	0	0	0	0	0	Cedric Gervais	51886.0
/artists/275672-david-byrne	0	0	0	0	0	0	0	0	0	0	David Byrne	62021.0
/artists/207017-ted-leo-and-the-pharmacists	0	0	0	0	0	0	0	0	0	0	Ted Leo and The Pharmacists	22859.0
/artists/135964-marc-broussard	0	0	0	0	0	0	0	0	0	0	Marc Broussard	25018.0
/artists/248578-yelle	0	0	0	1	0	0	0	0	0	0	Yelle	85837.0
/artists/2333830-crookes	0	0	0	0	0	0	0	0	0	0	The Crookes	10637.0
/artists/244849-fuel	0	0	0	0	0	0	0	0	0	0	Fuel	99019.0
/artists/199985-alo	0	0	0	0	0	0	0	0	0	0	ALO	16864.0
/artists/42371-emmure	0	0	0	0	0	0	0	0	0	0	Emmure	35224.0
/artists/771160-disclosure	0	0	0	0	0	0	0	1	0	0	Disclosure	315874.0
/artists/536247-sam-bush	0	0	0	0	0	0	0	0	0	0	Sam Bush	7188.0
/artists/509644-guns-n-roses	0	0	0	0	0	0	0	0	0	0	Guns N' Roses	631071.0
/artists/273540-mr-oizo	0	0	0	0	0	0	0	0	0	0	Mr. Oizo	45870.0
/artists/4769598-alison-wonderland	0	0	0	1	0	0	0	0	0	0	Alison Wonderland	9125.0
/artists/2793016-freddie-gibbs	0	0	0	0	0	0	0	0	0	0	Freddie Gibbs	32808.0
/artists/5429218-lindsey-stirling	0	0	0	0	0	0	0	0	0	0	Lindsey Stirling	65129.0
/artists/117139-lorn	0	0	0	0	0	0	0	0	0	0	Lorn	9227.0
/artists/590517-smith-westerns	0	0	0	0	0	0	0	0	0	0	Smith Westerns	58007.0
/artists/2876586-hungry-kids-of-hungary	0	0	0	0	0	0	0	0	0	0	Hungry Kids of Hungary	16070.0
/artists/435590-dj-hype	0	0	0	0	0	0	0	0	0	0	DJ Hype	10128.0
/artists/5551723-what-so-not	0	0	0	1	0	0	0	0	0	0	What So Not	33563.0
/artists/226543-tears-for-fears	1	0	0	0	0	0	0	0	0	0	Tears For Fears	200095.0
/artists/6126864-laura-mvula	0	0	0	0	0	0	0	0	0	0	Laura Mvula	35294.0
/artists/793502-balmorhea	0	0	0	0	0	0	0	0	0	0	Balmorhea	22144.0
/artists/60251-chali-2na	0	0	0	0	0	0	0	0	0	0	Chali 2na	12543.0
/artists/32837-richard-thompson	0	0	0	0	0	0	0	0	0	0	Richard Thompson	21907.0
/artists/662902-headhunterz	0	0	0	0	0	0	0	0	0	0	Headhunterz	21205.0
/artists/6008144-travis-scott	0	0	0	0	0	0	0	0	0	0	Travis Scott	34796.0
/artists/343767-current-swell	0	0	0	0	0	0	0	0	0	0	Current Swell	8881.0
/artists/2485316-hes-my-brother-shes-my-sister	0	0	0	0	0	0	0	0	0	0	He's My Brother She's My Sister	14704.0
/artists/252784-g-love-and-special-sauce	0	0	0	0	0	0	0	0	0	0	G. Love & Special Sauce	61930.0
/artists/474439-cure	0	0	0	0	0	0	0	0	0	0	The Cure	541039.0
/artists/2987671-delicate-steve	0	0	0	0	0	0	0	0	0	0	Delicate Steve	9718.0
/artists/85795-william	0	0	0	0	0	0	0	0	0	0	will.i.am	352896.0
/artists/4586543-rl-grime	0	0	0	0	0	0	0	0	0	0	RL Grime	38857.0
/artists/535518-modest-mouse	0	0	0	0	0	1	0	0	0	0	Modest Mouse	486216.0
/artists/70762-yo-la-tengo	0	0	0	0	0	0	0	0	0	0	Yo La Tengo	117541.0
/artists/3201-bassnectar	1	0	0	0	0	0	0	1	0	0	BASSNECTAR	214415.0
/artists/347869-billy-idol	0	0	0	0	0	0	0	1	0	0	Billy Idol	218401.0
/artists/3869306-unknown-mortal-orchestra	1	0	0	0	0	0	0	1	0	0	Unknown Mortal Orchestra	64414.0
/artists/592204-mumlers	0	0	0	0	0	0	0	0	0	0	The Mumlers	8147.0
/artists/2373357-zola-jesus	0	0	0	0	0	0	0	0	0	0	Zola Jesus	49958.0
/artists/535720-hybrid	0	0	0	0	0	0	0	0	0	0	Hybrid	29094.0
/artists/579574-airborne-toxic-event	0	0	0	0	0	0	0	0	0	0	The Airborne Toxic Event	136730.0
/artists/608834-blondfire	0	0	0	0	0	0	0	0	0	0	Blondfire	18086.0
/artists/552177-kanye-west	0	0	0	0	0	0	0	0	0	0	Kanye West	1099708.0
/artists/590705-bon-iver	0	0	0	0	0	0	0	0	0	0	Bon Iver	576150.0
/artists/5774964-jacco-gardner	0	0	0	0	0	0	0	0	0	0	Jacco Gardner	7251.0
/artists/515856-ween	0	0	0	0	0	0	0	0	0	0	Ween	57170.0
/artists/203694-wood-brothers	0	0	0	0	0	0	0	0	0	0	The Wood Brothers	17830.0
/artists/490331-nathan-fake	0	0	0	0	0	0	0	0	0	0	Nathan Fake	17862.0
/artists/235391-steve-martin	0	0	0	0	0	0	0	0	0	0	Steve Martin	12037.0
/artists/4043351-keep-shelly-in-athens	0	0	0	0	0	0	0	0	0	0	Keep Shelly in Athens	12310.0
/artists/2420306-beach-fossils	0	0	0	0	0	0	0	0	0	0	Beach Fossils	55978.0
/artists/598452-lucius	0	0	0	0	0	0	0	0	0	0	Lucius	24998.0
/artists/1552263-exitmusic	0	0	0	0	0	0	0	0	0	0	Exitmusic	9146.0
/artists/580617-say-hi	0	0	0	0	0	0	0	0	0	0	Say Hi	26369.0
/artists/1896080-allen-stone	0	0	0	0	0	0	0	0	0	0	Allen Stone	22185.0
/artists/1169584-alpha-rev	0	0	0	0	0	0	0	0	0	0	Alpha Rev	10980.0
/artists/3052856-shlohmo	0	0	0	0	0	0	0	0	0	0	Shlohmo	40440.0
/artists/2224179-lemaitre	0	0	0	0	0	0	0	0	0	0	Lemâitre	25134.0
/artists/2435006-lee-fields-and-the-expressions	0	0	0	0	0	0	0	0	0	0	Lee Fields & The Expressions	19610.0
/artists/74249-old-crow-medicine-show	0	0	0	0	0	0	0	0	0	0	Old Crow Medicine Show	114106.0
/artists/529844-frank-turner	0	0	0	0	0	0	0	0	0	0	Frank Turner	92237.0
/artists/670891-black-box-revelation	0	0	0	0	0	0	0	0	0	0	The Black Box Revelation	8781.0
/artists/90236-trampled-by-turtles	1	0	0	0	1	0	0	0	0	0	Trampled by Turtles	49218.0
/artists/35589-ozomatli	0	0	0	0	0	0	0	0	0	0	Ozomatli	35872.0
/artists/312553-pearl-jam	0	0	0	0	0	0	0	0	0	0	Pearl Jam	570444.0
/artists/705077-white-lies	0	0	0	0	0	0	0	0	0	0	White Lies	136455.0
/artists/2523176-of-mice-and-men	0	0	0	0	0	0	0	0	0	0	Of Mice & Men	119569.0
/artists/200105-copeland	0	0	0	0	0	0	0	0	0	0	Copeland	36149.0
/artists/181855-uz	0	0	0	0	0	0	0	0	0	0	UZ	9597.0
/artists/66246-midlake	0	0	0	0	0	0	0	0	0	0	Midlake	62301.0
